operator,user
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/b8h3q49vfc8691zzi9jwygb4/image.png  https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/9znt3v13fdyhlhd7ahl7nr1d6ma7fd/audio.ogg  ,کاش شماره تماس داشتید تا تلفنی عرض کنم  باجه ی پست خیلی ازم پول گرفت من کلی ضرر کردم  
https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/m4en027nqnkv3n9hboverev1ajewng/audio.ogg  https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/98mk8actqpf1dnpihost1iiv3cgjmy/audio.ogg  https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/3kitjs0ygygqhcu5ok1tf4g0lonw5p/audio.ogg  ,"https://s3.goftino.com/dl/2022/63593c28b9eab411db266f9b/hkab1ov9lzu4d837pd0owyregc8whs/audio.ogg  بله جزییاتش رو دیدم ولی هیچوقت پست  برای من غیر استاندارد حدود ۴ هزار نمیزد
جعبه ی کوچیک و خوبی هم بود  اصلا بنده در مرسوله هام هروقت گزینه غیر استاندارد نداشت  چرا دفعه ی اول که ارسالی  یک جعبه داشتم هزینه جمع آوری  ازم نگرفت ولی ایندفعه  هم که یک جعبه داشتم ۱۵ تومن از حسابم کم کرد.  "
دوباره امتحان کنید  ,ببخشید صوتهاتون باز نمیشه  
سلام بفرمایید  مشکل رو میفرمایید  ,بله    سلام  لطفا این کد رو ابطال بفرمایید  539601387247  
یعنی به مشتری تحویل نداده  ,عدم تحویل توسط پست  مشکل در بسته بندی  
"بسیار خوب
بررسی میشه  ",خیر  امروز جهت ارسال باید به پست تحویل می دادم که مشکل داشت نتونستم تحویل بدم  
میخواید مجدد ثبت کنید ؟  میتونید همون برگه ای که چاپ کردید رو روی بسته بندی جدید بزنید  ,ممنون  
بسیار خوب  به نام حمید برازنده لغو شد 539601387247  ,می فرمایند از تاریخ ثبت نباید بیشتر 24 ساعت بگذرد  تحویل نمی گیرند  واحد سفارشات اینترنتی پست  
��  ,ممنون  
بفرمایید  ,یه سوال  
"این قسمت توسط سرویس دهنده ها باید انجام بشه و از طرف اونها یه مقدار طول میکشه
اگر ادامه دار بود بفرمایید بررسی کنیم.  ",چرا وضعیت ها از آمادست به ارسال شده تغییر نمی کنه  
